YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_2026
1997,7,42.4,-73.42,42.4,-73.4,F2,0,0,0,0,550000.0,20000.0,True
1997,7,26.97,-82.1,26.97,-82.1,F0,0,0,0,0,4000.0,0.0,True
1997,8,41.12,-89.97,41.12,-89.97,F0,0,0,0,0,0.0,0.0,True
1997,7,27.78,-82.47,27.78,-82.47,F0,0,0,0,0,100000.0,0.0,True
1997,8,26.72,-81.97,26.72,-81.97,F0,0,0,0,0,0.0,0.0,True
1997,7,40.22,-82.72,40.22,-82.72,F1,0,0,0,0,5000.0,10000.0,True
1997,7,42.08,-77.93,42.08,-77.93,F0,0,0,0,0,35000.0,15000.0,True
1997,8,43.02,-92.77,43.0,-92.7,F1,0,0,0,0,400000.0,50000.0,True
1997,7,34.12,-102.85,34.12,-102.85,F0,0,0,0,0,0.0,0.0,True
1997,8,26.6,-81.97,26.6,-81.97,F0,0,0,0,0,0.0,0.0,True
1997,8,40.85,-102.08,40.85,-102.08,F0,0,0,0,0,0.0,0.0,True
1997,7,42.77,-105.02,42.77,-105.02,F0,0,0,0,0,0.0,0.0,True
1997,6,41.03,-98.6,40.97,-98.55,F1,0,0,0,0,750000.0,100000.0,True
1997,7,43.15,-89.4,43.15,-89.37,F1,0,0,1,0,388500.0,1000.0,True
1997,7,48.6,-118.05,48.6,-118.05,F1,0,0,0,0,20000.0,0.0,True
1997,7,41.2,-103.67,41.2,-103.67,F0,0,0,0,0,0.0,0.0,True
1997,7,34.48,-80.32,34.52,-80.3,F0,0,0,0,0,0.0,0.0,True
1997,6,41.63,-106.95,41.63,-106.95,F0,0,0,0,0,0.0,0.0,True
1997,7,33.85,-81.05,33.88,-81.02,F2,1,0,6,0,917000.0,25000.0,True
1997,7,43.1,-94.72,43.1,-94.68,F1,0,0,0,0,220000.0,3000.0,True
1997,8,41.37,-103.5,41.37,-103.5,F0,0,0,0,0,3000.0,0.0,True
1997,6,26.52,-81.85,26.52,-81.85,F0,0,0,0,0,500.0,0.0,True
1997,6,28.03,-81.78,28.03,-81.78,F0,0,0,0,0,20000.0,0.0,True
1997,6,28.08,-81.8,28.08,-81.8,F0,0,0,0,0,3000.0,0.0,True
1997,6,26.58,-81.87,26.58,-81.87,F0,0,0,0,0,16000.0,0.0,True
1997,7,42.75,-105.07,42.75,-105.07,F0,0,0,0,0,0.0,0.0,True
1997,7,42.75,-105.0,42.75,-105.0,F0,0,0,0,0,0.0,0.0,True
1997,7,42.7,-105.4,42.7,-105.4,F0,0,0,0,0,0.0,0.0,True
1997,7,40.1,-85.68,40.1,-85.68,F2,0,0,0,0,600000.0,10000.0,True
1997,7,37.2,-84.53,37.2,-84.53,F0,0,0,0,0,2000.0,2000.0,True
1997,8,38.05,-83.77,38.05,-83.77,F0,0,0,0,0,25000.0,0.0,True
1997,7,45.88,-111.33,45.88,-111.33,F0,0,0,0,0,0.0,0.0,True
1997,6,40.07,-104.72,40.07,-104.72,F0,0,0,0,0,0.0,0.0,True
1997,7,43.18,-89.48,43.18,-89.47,F1,0,0,0,0,130000.0,1000.0,True
1997,8,27.45,-81.3,27.45,-81.3,F0,0,0,0,0,100000.0,0.0,True
1997,7,34.47,-80.35,34.48,-80.32,F1,0,0,0,0,25000.0,0.0,True
1997,7,34.07,-80.8,34.08,-80.78,F0,0,0,0,0,0.0,0.0,True
1997,7,33.97,-80.98,34.0,-80.93,F1,0,0,1,0,205000.0,0.0,True
1997,7,41.08,-103.67,41.08,-103.67,F0,0,0,0,0,0.0,0.0,True
1997,7,41.12,-104.13,41.12,-104.13,F0,0,0,0,0,0.0,0.0,True
1997,8,41.9,-79.85,41.9,-79.85,F2,0,0,0,0,500000.0,3000.0,True
1997,7,34.22,-86.58,34.2,-86.57,F0,0,0,0,0,5000.0,0.0,True
1997,6,27.22,-81.83,27.22,-81.83,F0,0,0,0,0,1000.0,0.0,True
1997,6,26.6,-81.97,26.6,-81.97,F0,0,0,0,0,214000.0,0.0,True
1997,8,40.95,-102.18,40.95,-102.18,F0,0,0,0,0,0.0,0.0,True
1997,6,33.58,-102.62,33.58,-102.62,F0,0,0,0,0,5000.0,0.0,True
1997,7,45.12,-89.47,45.07,-89.52,F2,0,0,0,0,500000.0,25000.0,True
1997,7,45.12,-89.43,45.07,-89.4,F2,0,0,0,0,1000000.0,3000000.0,True
1997,7,40.05,-85.97,40.08,-85.97,F0,0,0,0,0,10000.0,1000.0,True
1997,6,41.17,-98.92,41.15,-98.9,F0,0,0,0,0,0.0,25000.0,True
1997,8,41.78,-104.35,41.78,-104.35,F0,0,0,0,0,0.0,0.0,True
1997,8,41.85,-107.17,41.85,-107.15,F0,0,0,0,0,0.0,0.0,True
1997,8,43.67,-91.55,43.67,-91.53,F0,0,0,0,0,80000.0,25000.0,True
1997,7,32.65,-85.37,32.65,-85.37,F0,0,0,0,0,12000.0,0.0,True
1997,6,40.82,-98.37,40.82,-98.37,F0,0,0,0,0,0.0,50000.0,True
1997,7,48.17,-12.42,48.22,-118.9,F1,0,0,0,0,10000.0,0.0,False
1997,7,48.17,-12.42,48.22,-118.9,F1,0,0,0,0,10000.0,0.0,False
1997,7,48.6,-118.05,48.6,-118.05,F1,0,0,0,0,20000.0,0.0,True
1997,8,41.33,-93.57,41.33,-93.57,F0,0,0,0,0,500.0,2000.0,True
1997,7,44.93,-89.4,44.92,-89.38,F1,0,0,0,0,100000.0,10000.0,True
1997,7,44.82,-89.25,44.82,-89.25,F0,0,0,0,0,1000.0,1000.0,True
1997,8,41.13,-104.9,41.13,-104.9,F0,0,0,0,0,0.0,0.0,True
1997,5,34.73,-86.62,34.73,-86.62,F0,0,0,0,0,10000.0,0.0,True
1997,1,30.67,-85.83,30.67,-85.83,F1,0,0,3,0,30000.0,0.0,True
1997,1,30.63,-85.72,30.63,-85.72,F1,0,0,0,0,50000.0,0.0,True
1997,2,35.37,-119.0,35.37,-119.0,F0,0,0,0,0,10000.0,0.0,True
1997,4,27.92,-82.53,27.92,-82.53,F0,0,0,0,0,5000.0,0.0,True
1997,1,27.53,-82.73,27.53,-82.73,F0,0,0,0,0,3000.0,0.0,True
1997,1,27.33,-82.53,27.33,-82.53,F0,0,0,0,0,0.0,0.0,True
1997,1,34.77,-85.73,34.75,-85.7,F0,0,0,0,0,60000.0,5000.0,True
1997,1,33.13,-87.57,33.25,-87.43,F2,1,0,10,0,5000000.0,5000.0,True
1997,2,33.22,-86.88,33.22,-86.88,F0,0,0,0,0,15000.0,0.0,True
1997,6,41.98,-104.97,41.98,-104.97,F0,0,0,0,0,0.0,0.0,True
1997,2,30.85,-100.62,31.0,-100.62,F1,0,0,0,0,800000.0,0.0,True
1997,1,36.32,-119.13,36.32,-119.08,F0,0,0,0,0,50000.0,0.0,True
1997,4,27.48,-82.72,27.48,-82.72,F0,0,0,0,0,0.0,0.0,True
1997,1,33.3,-87.7,33.3,-87.67,F2,0,0,1,0,85000.0,2000.0,True
1997,5,36.65,-94.15,36.65,-94.08,F0,0,0,0,0,5000.0,0.0,True
1997,4,28.85,-82.05,28.87,-82.02,F0,0,0,0,0,200000.0,0.0,True
1997,5,34.77,-87.0,34.8,-86.97,F2,0,0,12,0,2300000.0,50000.0,True
1997,5,37.9,-97.67,37.9,-97.63,F0,0,0,0,0,250000.0,0.0,True
1997,6,43.0,-93.95,42.85,-93.62,F1,0,0,0,0,50000.0,5000.0,True
1997,5,42.08,-86.0,42.08,-86.0,F0,0,0,1,0,1500000.0,0.0,True
1997,5,42.27,-85.08,42.28,-85.08,F0,0,0,0,0,10000000.0,0.0,True
1997,4,28.58,-82.48,28.58,-82.48,F0,0,0,0,0,0.0,0.0,True
1997,4,28.55,-82.45,28.55,-82.45,F0,0,0,1,0,150000.0,0.0,True
1997,5,30.87,-97.6,30.83,-97.62,F2,0,0,0,0,0.0,0.0,True
1997,1,32.55,-86.32,32.55,-86.3,F1,0,0,0,0,45000.0,0.0,True
1997,4,28.52,-82.43,28.55,-82.18,F0,0,0,0,0,500000.0,0.0,True
1997,1,34.33,-87.28,34.33,-87.28,F1,0,0,0,0,40000.0,8000.0,True
1997,6,42.73,-92.97,42.57,-92.78,F1,0,0,0,0,100000.0,5000.0,True
1997,6,39.03,-77.7,39.03,-77.62,F0,0,0,0,0,2000.0,1000.0,True
1997,5,34.65,-86.5,34.65,-86.47,F0,0,0,0,0,85000.0,0.0,True
1997,6,41.22,-104.38,41.22,-104.38,F0,0,0,0,0,0.0,0.0,True
1997,6,42.08,-106.92,42.08,-106.92,F0,0,0,0,0,0.0,0.0,True
1997,6,41.22,-103.32,41.22,-103.32,F1,0,0,0,0,15000.0,0.0,True
1997,6,41.17,-104.77,41.17,-104.77,F1,0,0,0,0,2000.0,0.0,True
1997,3,37.87,-83.87,37.92,-83.78,F1,0,0,0,0,500000.0,0.0,True
1997,1,30.65,-86.18,30.65,-86.18,F1,0,0,0,0,10000.0,0.0,True
1997,1,30.57,-84.78,30.57,-84.78,F1,0,0,0,0,500.0,0.0,True
1997,6,36.68,-84.47,36.68,-84.47,F0,0,0,0,0,5000.0,0.0,True
1997,6,40.07,-104.95,40.07,-104.95,F1,0,0,0,0,50000.0,0.0,True
1997,4,40.4,-88.83,40.57,-88.68,F0,0,0,0,0,100000.0,0.0,True
1997,5,38.12,-94.03,38.12,-94.03,F0,0,0,0,0,500.0,0.0,True
1997,4,34.47,-85.9,34.52,-85.85,F2,0,0,10,0,2200000.0,10000.0,True
1997,1,31.45,-85.33,31.5,-85.23,F2,0,0,0,0,180000.0,0.0,True
1997,1,30.55,-85.35,30.55,-85.35,F2,0,0,1,0,50000.0,500.0,True
1997,1,30.53,-85.28,30.53,-85.28,F1,0,0,0,0,50000.0,0.0,True
1997,4,26.98,-82.33,26.98,-82.33,F0,0,0,0,0,30000.0,0.0,True
1997,4,27.22,-81.87,27.22,-81.82,F0,0,0,0,0,2000.0,0.0,True
1997,5,27.88,-81.77,27.88,-81.75,F0,0,0,0,0,25000.0,0.0,True
1997,5,34.58,-86.47,34.58,-86.47,F0,0,0,0,0,100000.0,0.0,True
1997,6,33.53,-102.7,33.53,-102.7,F0,0,0,0,0,0.0,0.0,True
1997,4,27.47,-81.58,27.47,-81.58,F0,0,0,0,0,0.0,0.0,True
1997,4,27.37,-82.52,27.37,-82.52,F0,0,0,0,0,25000.0,0.0,True
1997,6,32.75,-100.4,32.73,-100.4,F1,0,0,0,0,25000.0,15000.0,True
1997,5,34.37,-102.0,34.37,-102.0,F0,0,0,0,0,0.0,0.0,True
1997,1,36.25,-85.53,36.28,-85.48,F2,0,0,0,0,500000.0,0.0,True
1997,4,27.22,-81.82,27.22,-81.82,F0,0,0,0,0,0.0,0.0,True
1997,5,41.32,-103.78,41.32,-103.78,F0,0,0,0,0,0.0,0.0,True
1997,3,37.2,-84.13,37.2,-84.13,F0,0,0,0,0,0.0,0.0,True
1997,6,30.85,-100.57,30.85,-100.57,F1,0,0,0,0,35000.0,20000.0,True
1997,4,27.43,-82.7,27.43,-82.7,F0,0,0,0,0,60000.0,0.0,True
1997,4,27.48,-82.57,27.48,-82.57,F0,0,0,0,0,2000.0,0.0,True
1997,4,28.57,-82.48,28.57,-82.48,F0,0,0,0,0,0.0,0.0,True
1997,5,27.9,-81.58,27.9,-81.58,F0,0,0,0,0,5000.0,0.0,True
1997,5,38.72,-98.87,38.72,-98.85,F0,0,0,0,0,20000.0,0.0,True
1997,4,35.77,-112.2,35.75,-112.2,F0,0,0,0,0,2000.0,0.0,True
1997,4,35.6,-112.2,35.6,-112.2,F0,0,0,0,0,0.0,0.0,True
1997,4,41.18,-104.07,41.18,-104.07,F1,0,0,0,0,0.0,0.0,True
1997,5,33.88,-101.6,33.88,-101.6,F0,0,0,0,0,0.0,0.0,True
1997,3,37.85,-83.87,37.85,-83.87,F0,0,0,0,0,1250000.0,0.0,True
1997,4,34.18,-101.7,34.18,-101.7,F0,0,0,0,0,0.0,0.0,True
1997,6,41.18,-103.67,41.18,-103.67,F0,0,0,0,0,0.0,0.0,True
1997,6,41.9,-104.97,41.9,-104.97,F0,0,0,0,0,0.0,0.0,True
1997,6,33.57,-100.33,33.57,-100.33,F0,0,0,0,0,0.0,0.0,True
1997,4,40.78,-89.98,40.97,-89.82,F0,0,0,0,0,25000.0,0.0,True
1997,6,39.02,-78.23,39.03,-78.18,F0,0,0,0,0,4000.0,2000.0,True
1997,5,34.4,-102.32,34.4,-102.32,F0,0,0,0,0,0.0,0.0,True
1997,4,33.48,-101.12,33.48,-101.12,F1,1,0,1,0,25000.0,0.0,True
1997,4,33.58,-101.05,33.58,-101.05,F0,0,0,0,0,0.0,0.0,True
1997,3,32.47,-84.95,32.58,-84.85,F1,0,0,1,0,750000.0,25000.0,True
1997,3,37.85,-83.63,37.85,-83.63,F0,0,0,0,0,3000.0,0.0,True
1997,3,37.95,-83.53,37.95,-83.53,F0,0,0,0,0,0.0,0.0,True
1997,4,39.65,-89.12,39.65,-89.12,F0,0,0,0,0,0.0,0.0,True
1997,3,27.33,-82.48,27.33,-82.48,F0,0,0,0,0,10000.0,0.0,True
1997,4,27.98,-82.47,27.98,-82.47,F0,0,0,1,0,500000.0,0.0,True
1997,5,35.02,-86.27,35.0,-86.25,F2,0,0,0,0,60000.0,100000.0,True
1997,5,32.13,-99.3,32.13,-99.3,F1,0,0,0,0,50000.0,5000.0,True
1997,6,39.1,-77.97,39.12,-77.97,F0,0,0,0,0,2000.0,1000.0,True
1997,5,38.02,-97.67,38.02,-97.67,F1,0,0,0,0,75000.0,0.0,True
1997,4,29.52,-82.9,29.52,-82.9,F0,0,0,0,0,20000.0,0.0,True
1997,6,41.18,-103.73,41.18,-103.73,F0,0,0,0,0,0.0,0.0,True
1997,4,32.52,-82.13,32.53,-82.0,F1,0,0,0,0,100000.0,10000.0,True
1997,5,30.82,-97.62,30.77,-97.67,F5,27,0,12,0,40000000.0,100000.0,True
1997,5,30.55,-97.82,30.48,-97.83,F3,0,0,15,0,70000000.0,50000.0,True
1997,5,30.47,-97.93,30.43,-97.88,F2,0,0,0,0,50000.0,10000.0,True
1997,5,30.4,-97.85,30.4,-97.87,F1,0,0,0,0,5000.0,0.0,True
1997,5,30.37,-98.02,30.33,-97.98,F4,1,0,5,0,15000000.0,0.0,True
1997,6,41.28,-103.73,41.28,-103.73,F0,0,0,0,0,0.0,0.0,True
1997,5,40.28,-103.83,40.28,-103.83,F0,0,0,0,0,0.0,0.0,True
1997,4,34.65,-84.92,34.65,-84.92,F0,0,0,3,0,100000.0,350000.0,True
1997,4,34.88,-84.37,34.88,-84.37,F0,0,0,3,0,100000.0,350000.0,True
1997,5,37.13,-97.5,37.17,-97.38,F2,0,0,0,0,1850000.0,0.0,True
1997,6,29.82,-101.57,29.82,-101.57,F0,0,0,0,0,0.0,0.0,True
1997,6,39.02,-103.9,39.02,-103.9,F0,0,0,0,0,0.0,0.0,True
1997,5,34.72,-87.12,34.73,-87.1,F0,0,0,0,0,45000.0,0.0,True
1997,5,30.02,-97.87,29.98,-97.92,F1,0,0,0,0,5000.0,0.0,True
1997,5,30.83,-97.62,30.82,-97.62,F2,0,0,0,0,0.0,0.0,True
1997,5,40.73,-90.15,40.73,-90.15,F0,0,0,0,0,0.0,0.0,True
1997,5,29.98,-98.75,29.97,-98.75,F0,0,0,0,0,0.0,0.0,True
1997,6,36.77,-83.7,36.78,-83.62,F0,0,0,0,0,10000.0,0.0,True
1997,5,34.87,-86.58,34.88,-86.58,F2,0,0,1,0,600000.0,0.0,True
1997,5,33.25,-116.27,33.25,-116.27,F0,0,0,0,0,0.0,0.0,True
1997,6,34.7,-87.55,34.7,-87.5,F1,0,0,1,0,100000.0,5000.0,True
1997,6,36.6,-83.72,36.6,-83.72,F0,0,0,0,0,3000.0,0.0,True
1997,5,42.3,-86.47,42.32,-86.47,F0,0,0,1,0,1500000.0,0.0,True
1997,6,41.22,-103.35,41.22,-103.35,F0,0,0,0,0,0.0,0.0,True
1997,5,29.52,-99.53,29.52,-99.53,F0,0,0,0,0,0.0,0.0,True
1997,5,29.07,-99.0,29.05,-99.0,F0,0,0,0,0,0.0,0.0,True
1997,4,27.9,-82.63,27.9,-82.63,F0,0,0,0,0,0.0,0.0,True
1997,6,33.33,-100.55,33.33,-100.55,F0,0,0,0,0,0.0,0.0,True
1997,6,33.47,-100.52,33.47,-100.52,F0,0,0,0,0,0.0,0.0,True
1997,6,41.2,-104.07,41.2,-104.07,F0,0,0,0,0,0.0,0.0,True
1997,4,28.8,-82.57,28.8,-82.57,F0,0,0,0,0,114000.0,0.0,True
1997,5,39.55,-88.02,39.55,-88.02,F0,0,0,0,0,0.0,0.0,True
1997,4,33.1,-101.88,33.1,-101.88,F0,0,0,0,0,0.0,0.0,True
1997,4,40.5,-89.73,40.5,-89.73,F0,0,0,1,0,115000.0,0.0,True
1997,4,34.53,-101.77,34.53,-101.77,F0,0,0,0,0,0.0,0.0,True
