YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
2014,6,41.2725,-87.5268,1
2014,10,34.68,-83.21,0
2014,10,35.12,-82.24,0
2014,5,38.9626,-77.6952,0
2014,9,46.79,-98.09,0
2014,9,34.828,-77.902,2
2014,9,40.1757,-95.1212,0
2014,8,42.24,-71.8,0
2014,7,48.48,-108.37,0
2014,9,40.1853,-95.108,0
2014,9,33.4296,-80.3952,0
2014,10,33.7279,-94.2339,0
2014,10,34.208,-88.1077,0
2014,9,39.9877,-94.3508,0
2014,9,36.9279,-95.1,0
2014,10,34.0087,-88.001,0
2014,6,38.82,-100.56,1
2014,9,41.17,-81.4,0
2014,9,41.191,-81.377,0
2014,9,40.17,-92.74,1
2014,6,44.2509,-99.3672,1
2014,6,44.18,-99.28,0
2014,9,39.07,-116.51,0
2014,9,46.65,-97.25,1
2014,9,41.202,-81.299,0
2014,7,36.4495,-83.9318,3
2014,4,35.17,-77.35,0
2014,4,35.441,-77.7891,0
2014,10,36.5001,-87.2952,1
2014,4,46.8649,-122.2625,0
2014,9,41.335,-81.185,0
2014,10,37.1593,-93.6799,0
2014,10,34.401,-86.149,0
2014,10,34.6881,-86.7267,0
2014,10,31.9764,-93.6991,1
2014,8,43.8995,-113.5916,0
2014,10,36.5048,-93.39,1
2014,10,37.3537,-93.6061,0
2014,8,38.72,-98.92,1
2014,9,32.1474,-93.5826,1
2014,6,39.3,-101.54,0
2014,6,39.29,-101.38,0
2014,10,35.8594,-87.3851,1
2014,10,32.4375,-92.2781,1
2014,10,32.7681,-95.0456,1
2014,12,31.2273,-89.8331,3
2014,6,34.0312,-88.8194,1
2014,6,39.97,-96.0455,3
2014,12,31.6986,-89.2239,2
2014,1,34.3328,-84.5286,0
2014,2,35.1935,-86.3331,1
2014,2,35.176,-86.2048,1
2014,2,31.43,-83.576,0
2014,2,34.7858,-87.315,1
2014,12,30.7289,-90.4799,2
2014,12,31.4143,-89.5509,0
2014,12,31.4247,-89.5358,0
2014,12,32.0005,-88.4854,0
2014,12,31.8276,-89.6172,0
