YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2016,6,41.3669,-88.71,41.3406,-88.592,2,0,0,0,0,0.0,0.0,58.42003226157407,True
2016,1,31.9388,-90.2981,31.9662,-90.2578,0,0,0,0,0,17000.0,0.0,48.08412004430546,True
2016,1,32.2624,-89.5387,32.2645,-89.503,0,0,0,0,0,9000.0,0.0,41.95347753242182,True
2016,7,44.3935,-92.3456,44.3938,-92.3439,1,0,0,0,0,5000.0,0.0,109.02109303686727,True
2016,8,41.222,-84.6813,41.2527,-84.646,2,0,0,0,0,0.0,0.0,86.45573809145027,True
2016,8,41.3823,-84.2161,41.4115,-84.1786,1,0,0,0,0,0.0,0.0,123.85272642080342,True
2016,6,43.35,-95.3205,43.354,-95.316,0,0,0,0,0,1000.0,0.0,116.68857248509687,True
2016,2,30.8601,-84.3365,30.9679,-84.1607,1,0,0,0,0,20000.0,0.0,51.445038136626174,True
2016,5,41.0091,-103.1043,41.0026,-103.1007,0,0,0,0,0,0.0,0.0,143.51943693388972,True
2016,5,41.0722,-103.1209,41.0727,-103.1051,0,0,0,0,0,0.0,0.0,141.4569662302585,True
2016,2,31.4151,-84.9804,31.4383,-84.9539,1,0,0,0,0,0.0,0.0,45.722038086884105,True
2016,2,31.6405,-84.42,31.7026,-84.3734,1,0,0,0,0,0.0,0.0,100.50116789466765,True
2016,2,31.8496,-84.0279,31.8519,-84.0257,1,0,0,0,0,50000.0,0.0,111.68230571474011,True
2016,6,39.1559,-79.9642,39.1551,-79.9575,1,0,0,0,0,20000.0,0.0,154.5035315591997,True
2016,7,47.6611,-117.5603,47.6611,-117.5603,0,0,0,0,0,0.0,0.0,5.361528838451886,True
2016,5,48.39,-104.49,48.39,-104.5,0,0,0,0,0,0.0,0.0,159.21802654953484,True
2016,2,31.2642,-85.4491,31.2735,-85.4238,1,0,0,0,0,50000.0,0.0,21.854931012131843,True
2016,2,31.2651,-85.4106,31.3085,-85.3752,1,0,0,0,0,75000.0,0.0,22.221088367919844,True
2016,2,31.436,-85.2071,31.4386,-85.2011,0,0,0,0,0,0.0,0.0,24.086886956371746,True
2016,9,39.9728,-88.0739,39.9991,-87.9608,2,0,0,0,0,800000.0,100000.0,109.27616406098161,True
2016,3,41.5342,-90.3616,41.5918,-90.3277,2,0,0,10,0,750000.0,0.0,20.16857111593094,True
2016,2,31.3531,-85.3769,31.3644,-85.3639,1,0,0,0,0,50000.0,0.0,14.28370610466518,True
2016,5,39.133,-99.1814,39.1385,-99.1822,2,0,0,0,0,2000.0,0.0,146.43756047094087,True
2016,2,31.2479,-85.5317,31.2519,-85.5152,1,0,0,0,0,0.0,0.0,24.622627541028194,True
2016,2,31.195,-85.6067,31.2028,-85.5609,0,0,0,0,0,50000.0,0.0,32.67558766992436,True
2016,2,31.2579,-85.4858,31.2711,-85.4551,1,0,0,0,0,0.0,0.0,22.672861539011173,True
2016,5,39.1367,-99.1623,39.1739,-99.1407,1,0,0,0,0,15000.0,0.0,145.366250437099,True
2016,2,30.1606,-92.8538,30.1679,-92.844,0,0,0,0,0,0.0,0.0,35.03765530583062,True
2016,2,31.497,-85.157,31.5007,-85.1497,1,0,0,0,0,0.0,0.0,28.959943033388313,True
2016,6,27.852,-81.576,27.844,-81.583,0,0,0,0,0,5000.0,0.0,82.87783466358385,True
2016,2,31.2519,-85.5152,31.2579,-85.4858,0,0,0,0,0,0.0,0.0,23.798571748347282,True
2016,3,33.5082,-91.4509,33.5455,-91.3499,1,0,0,1,0,2500000.0,0.0,165.46290559476589,True
2016,6,43.9812,-96.3452,44.0359,-96.3463,0,0,0,0,0,0.0,0.0,53.50234440814499,True
2016,4,27.9977,-82.8285,27.9976,-82.8263,0,0,0,0,0,5000.0,0.0,53.0663344465937,True
2016,4,28.2994,-82.67,28.2997,-82.7206,0,0,0,0,0,100000.0,0.0,71.11312328556383,True
2016,3,30.7979,-90.6077,30.7996,-90.6055,1,0,0,0,0,0.0,0.0,36.396383703655026,True
2016,3,30.8168,-90.5397,30.8728,-90.4978,1,0,0,0,0,0.0,0.0,35.386777245826366,True
2016,2,31.4574,-86.6181,31.5136,-86.5786,1,0,0,1,0,100000.0,0.0,109.90560921963869,True
2016,1,26.57,-82.037,26.575,-81.983,2,0,0,3,0,2000000.0,0.0,131.29969389901373,True
2016,1,31.3241,-89.6506,31.3425,-89.5432,2,0,0,0,0,65000.0,0.0,110.8730921649723,True
2016,1,31.6989,-90.5212,31.7334,-90.4597,1,0,0,0,0,155000.0,0.0,82.08223120295624,True
2016,1,24.7315,-81.0139,24.7324,-81.0128,0,0,0,0,0,2000.0,0.0,71.25576559408283,True
2016,1,26.5503,-81.9126,26.552,-81.9102,1,0,0,0,0,200000.0,0.0,137.2530875926308,True
2016,1,27.0873,-80.1497,27.0963,-80.1416,1,0,0,0,0,100000.0,0.0,124.4306431597872,True
2016,3,31.529,-86.7244,31.5313,-86.7185,0,0,0,0,0,8000.0,0.0,120.1828898172908,True
2016,2,34.998,-78.089,35.0056,-78.0864,0,0,0,0,0,5000.0,0.0,82.63427130787012,True
2016,2,27.65,-82.06,27.654,-82.0456,0,0,0,0,0,0.0,0.0,34.227584362651385,True
2016,2,27.0071,-82.1425,27.01,-82.1409,0,0,0,0,0,50000.0,0.0,81.75181633757313,True
2016,2,26.9991,-82.0391,27.0313,-82.0136,1,0,0,1,0,1600000.0,0.0,86.31292770881059,True
2016,2,30.2195,-90.4354,30.2266,-90.3833,1,0,0,0,0,0.0,0.0,33.477542799743915,True
2016,2,33.8779,-88.021,33.93,-87.9856,1,0,0,0,0,0.0,0.0,28.526442330680755,True
2016,2,33.3956,-88.1635,33.4336,-88.107,0,0,0,0,0,0.0,0.0,57.814609153986616,True
2016,2,34.8206,-76.4499,34.8807,-76.4358,1,0,0,0,0,100000.0,0.0,39.259503433643935,True
2016,2,27.54,-82.2,27.54,-82.06,1,0,0,0,0,0.0,0.0,27.084024904213933,True
2016,2,35.7673,-89.1677,35.801,-89.1456,1,0,0,1,0,150000.0,0.0,79.26237364852084,True
2016,2,33.3941,-87.9672,33.4627,-87.98,0,0,0,0,0,0.0,0.0,65.18225814188878,True
2016,1,27.253,-82.5396,27.2663,-82.5284,2,0,0,2,0,12000000.0,0.0,52.09141314217858,True
2016,1,27.538,-82.219,27.642,-82.126,2,2,0,4,0,150000.0,0.0,25.89968407241018,True
2016,4,31.24,-82.66,31.25,-82.62,1,0,0,0,0,0.0,0.0,50.71637860235328,True
2016,2,34.2265,-87.9189,34.258,-87.9267,1,0,0,0,0,0.0,0.0,52.64579858400497,True
2016,2,33.1593,-86.6673,33.1675,-86.6507,0,0,0,0,0,0.0,0.0,9.636351157624482,True
2016,2,31.4358,-88.5273,31.4426,-88.5111,1,0,0,0,0,100000.0,0.0,88.45201073920865,True
2016,4,31.619,-84.8746,31.6063,-84.8179,1,0,0,0,0,0.0,0.0,58.15215452667462,True
2016,2,30.5333,-87.1318,30.5563,-87.0956,1,0,0,0,0,75000.0,0.0,107.2697078044812,True
2016,1,30.8969,-86.1972,30.9335,-86.1691,0,0,0,0,0,0.0,0.0,45.33619759743061,True
2016,1,30.3563,-85.3032,30.3698,-85.2913,0,0,0,0,0,0.0,0.0,63.65954868350374,True
2016,2,32.3762,-90.3166,32.3809,-90.3096,0,0,0,0,0,3000.0,0.0,32.99226261195497,True
2016,2,33.0346,-89.2791,33.0499,-89.2398,1,0,0,0,0,45000.0,0.0,106.77397864363553,True
2016,2,32.7303,-88.5776,32.9289,-88.4023,2,0,0,0,0,250000.0,0.0,131.7586816677215,True
2016,2,32.8155,-89.6062,32.8278,-89.5773,1,0,0,0,0,800000.0,0.0,69.30084207313553,True
2016,2,31.696,-90.4023,31.7951,-90.1449,2,0,0,0,0,900000.0,0.0,75.9591990504023,True
2016,4,39.305,-89.5999,39.3295,-89.513,0,0,0,0,0,0.0,0.0,96.66918177922271,True
2016,2,31.9468,-89.6273,31.9621,-89.5964,0,0,0,0,0,15000.0,0.0,50.04009045035338,True
2016,2,32.9289,-88.4023,32.9446,-88.3861,0,0,0,0,0,20000.0,0.0,107.85147886560321,True
2016,2,36.3496,-78.5443,36.3761,-78.5115,2,0,0,0,0,500000.0,0.0,76.25061358846736,True
2016,2,31.7951,-90.1449,31.8844,-89.9357,1,0,0,0,0,60000.0,0.0,55.998549592903785,True
2016,2,31.9934,-89.4087,32.0158,-89.3706,1,0,0,0,0,250000.0,0.0,62.883037828412775,True
2016,3,37.1357,-96.5858,37.1329,-96.5774,0,0,0,0,0,0.0,0.0,95.19464793613167,True
2016,4,38.6822,-90.9558,38.6822,-90.9498,0,0,0,0,0,0.0,0.0,23.76911528203913,True
2016,3,32.0833,-98.3435,32.0859,-98.3396,0,0,0,0,0,130000.0,0.0,99.41905946442752,True
2016,3,32.2055,-98.2172,32.2368,-98.2108,1,0,0,0,0,500000.0,0.0,95.04785032237575,True
2016,4,32.349,-94.2631,32.41,-94.2003,1,0,0,0,0,0.0,0.0,41.19308590378216,True
2016,2,32.4685,-88.8749,32.5775,-88.761,2,0,0,0,0,1450000.0,0.0,106.28574460285806,True
2016,2,35.2169,-77.9213,35.2273,-77.9086,0,0,0,0,0,50000.0,0.0,71.69305761296067,True
2016,2,31.0024,-89.7044,31.0359,-89.7021,1,0,0,0,0,25000.0,0.0,85.98894078621649,True
2016,2,31.0586,-89.6481,31.0586,-89.6481,0,0,0,0,0,5000.0,0.0,94.0885818082236,True
2016,3,32.4571,-97.7586,32.4571,-97.7586,0,0,0,0,0,4000.0,0.0,44.60196848790531,True
2016,3,39.882,-84.4272,39.9249,-84.4221,1,0,0,0,0,250000.0,0.0,72.96305494582023,True
2016,2,32.0506,-89.3413,32.0641,-89.3224,1,0,0,0,0,8000.0,0.0,65.69164823226028,True
2016,2,31.2265,-89.423,31.244,-89.4104,1,0,0,0,0,10000.0,0.0,122.49465439023423,True
2016,2,30.9574,-89.3334,30.9989,-89.2884,0,0,0,0,0,15000.0,0.0,108.9163477208556,True
2016,2,36.3759,-78.5105,36.395,-78.4727,2,0,0,0,0,100000.0,0.0,79.0399554589665,True
2016,2,30.0732,-90.5067,30.0982,-90.4337,2,0,0,17,0,0.0,0.0,50.54466203644334,True
2016,2,41.7153,-76.2871,41.7302,-76.2797,1,0,0,0,0,25000.0,0.0,59.38221197717711,True
2016,3,31.07,-84.27,31.0721,-84.2657,0,0,0,0,0,2000.0,0.0,74.99122379993976,True
2016,3,36.6784,-93.578,36.6492,-93.6221,1,0,0,0,0,0.0,0.0,63.903137081655395,True
2016,3,39.9615,-84.5441,39.9939,-84.5397,1,0,0,0,0,75000.0,0.0,86.27225098428244,True
2016,4,28.29,-99.0,28.2898,-98.9999,0,0,0,0,0,0.0,0.0,156.6145588147666,True
2016,2,31.1157,-89.5159,31.1822,-89.4608,2,1,0,0,0,105000.0,0.0,107.89336958017537,True
2016,2,32.8184,-90.2652,32.8283,-90.2492,0,0,0,0,0,25000.0,0.0,65.39668444540317,True
2016,2,31.7717,-90.0531,31.7773,-90.0448,0,0,0,0,0,13000.0,0.0,56.888692162951145,True
2016,5,27.9722,-97.4104,27.9717,-97.4013,0,0,0,0,0,50000.0,0.0,23.150275352676772,True
2016,2,32.2352,-86.0243,32.2636,-85.9989,0,0,0,0,0,0.0,0.0,40.10682288327086,True
2016,2,36.0594,-78.945,36.0629,-78.9386,1,0,0,0,0,100000.0,0.0,60.01530858337576,True
2016,4,31.8142,-95.0391,31.8268,-95.0288,1,0,0,0,0,15000.0,0.0,133.1656036817723,True
