YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
1997,7,42.4,-73.42,2
1997,7,43.7,-94.02,0
1997,7,26.97,-82.1,0
1997,8,41.1,-90.02,0
1997,8,41.12,-89.97,0
1997,6,28.55,-81.37,0
1997,7,27.78,-82.47,0
1997,7,45.58,-108.77,0
1997,8,26.72,-81.97,0
1997,7,39.68,-83.82,2
1997,7,44.38,-108.08,0
1997,7,40.22,-82.72,1
1997,8,38.82,-83.57,0
1997,7,42.08,-77.93,0
1997,8,40.8,-102.03,0
1997,8,40.75,-101.98,0
1997,7,47.05,-96.95,0
1997,7,46.88,-96.93,0
1997,8,46.75,-98.7,0
1997,8,46.9,-98.87,1
1997,7,48.12,-101.28,0
1997,7,26.82,-80.67,0
1997,7,47.05,-96.93,0
1997,8,45.0,-96.97,0
1997,7,44.52,-100.33,0
1997,7,44.55,-96.47,1
1997,8,43.02,-92.77,1
1997,7,48.73,-101.57,0
1997,7,43.32,-96.45,0
1997,7,30.28,-87.57,0
1997,7,47.32,-102.07,0
1997,7,48.3,-101.28,0
1997,7,43.3,-96.58,0
1997,7,43.42,-96.7,0
1997,7,48.18,-101.37,0
1997,7,48.78,-101.15,0
1997,7,37.22,-90.35,0
1997,7,44.02,-83.68,1
1997,7,34.7,-80.9,1
1997,7,42.17,-73.22,2
1997,7,36.53,-96.68,0
1997,6,35.35,-100.23,0
1997,7,28.17,-81.37,0
1997,7,45.0,-89.37,0
1997,7,46.0,-99.77,0
1997,7,41.98,-97.43,0
1997,7,43.18,-84.15,1
1997,7,43.17,-84.15,1
1997,7,43.18,-83.98,1
1997,7,43.25,-83.9,1
1997,7,43.18,-83.87,1
1997,7,43.15,-83.87,1
1997,7,43.18,-83.37,1
1997,7,45.03,-89.48,0
1997,7,39.32,-101.52,0
1997,6,34.93,-100.18,0
1997,7,44.38,-97.55,0
1997,7,44.65,-95.48,0
1997,7,44.75,-94.37,0
1997,7,42.7,-84.12,1
1997,7,42.83,-83.57,1
1997,7,42.4,-83.25,2
1997,7,47.02,-95.07,0
1997,7,36.48,-89.65,0
1997,7,44.47,-97.3,0
1997,7,44.37,-97.28,0
1997,7,44.43,-97.28,0
1997,8,31.85,-99.95,0
1997,8,46.38,-120.72,0
1997,7,42.67,-73.05,1
1997,7,44.52,-84.5,1
1997,7,44.58,-84.32,1
1997,7,36.85,-76.27,1
1997,7,39.8,-95.82,1
1997,7,42.77,-82.97,0
1997,6,35.43,-100.5,1
1997,7,42.12,-73.6,1
1997,7,42.4,-73.43,1
1997,6,35.33,-100.45,3
1997,6,35.08,-100.52,1
1997,6,34.98,-100.45,0
1997,7,45.22,-97.32,0
1997,6,36.32,-102.52,0
1997,6,36.02,-102.45,0
1997,7,34.12,-102.85,0
1997,8,41.52,-86.28,0
1997,8,40.83,-97.18,0
1997,8,26.6,-81.97,0
1997,8,40.85,-102.08,0
1997,7,26.78,-80.7,0
1997,7,36.58,-89.58,0
1997,7,26.12,-81.78,0
1997,7,38.85,-84.18,3
1997,7,42.63,-110.17,0
1997,7,42.77,-105.02,0
1997,8,41.42,-76.58,1
1997,6,41.03,-98.6,1
1997,7,39.1,-96.93,1
1997,6,35.67,-101.33,0
1997,8,41.47,-82.18,0
1997,6,31.62,-104.93,0
1997,1,30.63,-87.0,1
1997,8,47.92,-122.1,0
1997,8,47.0,-123.48,0
1997,7,43.15,-89.4,1
1997,6,34.05,-98.5,1
1997,6,35.3,-95.6,0
1997,6,35.52,-95.97,0
1997,6,35.28,-101.37,0
1997,7,43.17,-83.72,3
1997,7,43.18,-83.62,3
1997,7,44.13,-89.52,0
1997,7,48.6,-118.05,1
1997,7,41.2,-103.67,0
1997,7,40.55,-90.87,0
1997,8,46.9,-98.78,0
1997,8,46.9,-98.7,0
1997,8,46.9,-98.98,0
1997,7,42.72,-96.17,0
1997,7,25.58,-80.33,0
1997,7,34.48,-80.32,0
1997,6,32.95,-98.75,0
1997,6,33.0,-98.67,1
1997,6,41.63,-106.95,0
1997,7,33.85,-81.05,2
1997,7,43.1,-94.72,1
1997,7,41.87,-88.12,1
1997,7,35.38,-77.78,0
1997,8,41.37,-103.5,0
1997,6,26.52,-81.85,0
1997,7,43.13,-96.57,0
1997,7,43.9,-93.07,0
1997,6,35.77,-100.63,0
1997,7,44.45,-100.22,1
1997,6,28.03,-81.78,0
1997,6,28.08,-81.8,0
1997,6,26.58,-81.87,0
1997,7,45.3,-93.93,2
1997,7,45.27,-93.82,2
1997,7,42.63,-72.88,1
1997,7,47.03,-96.53,0
1997,6,34.9,-101.65,0
1997,7,42.87,-72.28,1
1997,7,42.95,-71.85,2
1997,6,39.0,-79.08,0
1997,6,45.23,-94.25,0
1997,6,35.78,-102.05,0
1997,6,35.82,-102.02,0
1997,6,26.13,-81.8,0
1997,7,42.75,-105.07,0
1997,7,42.75,-105.0,0
1997,7,42.7,-105.4,0
1997,7,48.5,-101.7,2
1997,7,42.75,-95.55,0
1997,7,41.53,-87.88,1
1997,7,41.45,-90.47,0
1997,7,40.1,-85.68,2
1997,6,33.17,-98.4,1
1997,7,34.58,-118.12,0
1997,6,30.68,-104.5,0
1997,7,34.15,-78.1,0
1997,7,34.25,-78.05,0
1997,7,38.67,-97.03,0
1997,6,34.03,-98.38,1
1997,7,45.22,-112.85,0
1997,6,44.63,-123.38,0
1997,7,38.18,-85.53,0
1997,7,37.2,-84.53,0
1997,7,39.52,-104.77,1
1997,7,29.9,-93.93,0
1997,7,43.32,-96.45,0
1997,7,42.78,-96.1,0
1997,7,42.67,-72.83,1
1997,6,35.52,-96.37,0
1997,8,38.05,-83.77,0
1997,7,45.3,-97.32,0
1997,7,45.77,-92.9,0
1997,7,45.88,-111.33,0
1997,7,45.88,-111.33,0
1997,8,41.13,-101.93,0
1997,8,42.8,-102.35,0
1997,6,40.07,-104.72,0
1997,6,39.93,-104.88,1
1997,7,42.38,-73.57,1
1997,7,38.48,-101.97,0
1997,7,42.52,-88.77,0
1997,7,43.18,-89.48,1
1997,8,41.18,-102.23,0
1997,6,40.1,-103.62,1
1997,6,39.72,-104.2,0
1997,8,27.45,-81.3,0
1997,7,44.02,-92.88,0
1997,7,43.38,-92.22,0
1997,7,34.47,-80.35,1
1997,7,34.07,-80.8,0
1997,7,34.22,-80.57,2
1997,7,33.97,-80.98,1
1997,7,48.53,-100.22,0
1997,7,41.08,-103.67,0
1997,7,41.12,-104.13,0
1997,8,40.3,-101.4,1
1997,7,38.9,-103.87,0
1997,7,44.03,-92.82,0
1997,8,39.08,-85.0,0
1997,8,41.9,-79.85,2
1997,8,40.77,-82.52,0
1997,7,44.62,-93.93,0
1997,8,46.7,-98.18,0
1997,1,36.12,-86.03,2
1997,1,36.13,-85.78,1
1997,7,34.8,-78.95,1
1997,8,40.47,-102.13,1
1997,7,40.95,-76.88,0
1997,7,28.85,-80.85,0
1997,7,34.22,-86.58,0
1997,7,45.13,-95.05,1
1997,7,45.17,-95.0,1
1997,7,45.48,-93.43,1
1997,8,46.07,-87.58,0
1997,8,41.55,-86.57,0
1997,7,45.4,-93.37,1
1997,7,45.27,-92.95,1
1997,7,44.85,-94.98,0
1997,7,44.95,-94.93,0
1997,8,41.13,-81.87,0
1997,8,41.03,-81.75,1
1997,8,44.4,-93.72,0
1997,8,44.28,-92.82,1
1997,8,44.42,-92.6,0
1997,6,35.32,-100.32,0
1997,6,35.28,-100.58,1
1997,8,37.98,-87.65,0
1997,7,36.1,-83.55,0
1997,7,41.53,-78.02,0
1997,7,45.62,-95.25,1
1997,7,45.07,-94.35,0
1997,7,45.05,-94.0,1
1997,7,45.12,-94.02,3
1997,6,27.22,-81.83,0
1997,6,26.6,-81.97,0
1997,8,40.95,-102.18,0
1997,7,28.3,-81.4,1
1997,7,47.7,-96.15,0
1997,7,47.93,-96.45,0
1997,7,47.78,-96.27,0
1997,7,47.87,-96.28,0
1997,7,40.1,-83.12,0
1997,6,41.5,-96.63,0
1997,2,35.13,-81.25,0
1997,7,47.25,-68.67,0
1997,6,33.58,-102.62,0
1997,7,34.4,-82.32,0
1997,8,31.52,-110.27,0
1997,8,45.03,-100.52,0
1997,8,46.95,-100.77,0
1997,6,44.17,-112.53,0
1997,7,45.12,-89.47,2
1997,7,45.12,-89.43,2
1997,6,40.68,-73.0,0
1997,7,40.05,-85.97,0
1997,8,40.2,-82.82,0
1997,1,34.13,-89.37,0
1997,6,28.98,-96.65,0
1997,6,29.2,-96.28,0
1997,7,42.18,-73.17,2
1997,6,45.45,-99.55,0
1997,7,47.83,-98.43,1
1997,8,40.42,-101.5,0
1997,6,31.18,-105.35,0
1997,6,31.18,-105.35,1
1997,7,41.9,-77.13,1
1997,7,39.93,-85.35,0
1997,6,35.23,-100.62,1
1997,6,34.78,-100.22,1
1997,7,48.77,-100.8,0
1997,7,40.95,-76.88,0
1997,6,41.17,-98.92,0
1997,7,44.82,-97.53,0
1997,8,41.78,-104.35,0
1997,8,41.85,-107.17,0
1997,8,43.67,-91.55,0
1997,7,28.3,-81.4,0
1997,7,28.6,-80.87,0
1997,7,40.9,-76.8,0
1997,7,32.65,-85.37,0
1997,7,39.8,-96.07,1
1997,8,45.08,-69.05,0
1997,7,45.32,-91.17,1
1997,7,45.03,-91.93,1
1997,6,36.63,-87.47,0
1997,6,40.82,-98.37,0
1997,6,33.18,-96.18,0
1997,8,44.7,-94.18,0
1997,7,36.87,-76.27,0
1997,7,41.2,-77.38,1
1997,6,35.22,-95.42,0
1997,7,36.85,-76.27,1
1997,7,25.47,-80.47,0
1997,7,48.17,-12.42,1
1997,7,48.17,-12.42,1
1997,7,48.6,-118.05,1
1997,7,40.95,-103.47,0
1997,8,41.42,-76.58,1
1997,8,41.38,-76.48,1
1997,8,37.65,-105.92,0
1997,8,41.87,-93.93,0
1997,7,47.77,-106.63,0
1997,7,43.98,-96.32,0
1997,8,41.18,-93.62,0
1997,7,45.22,-94.7,0
1997,7,40.58,-83.13,0
1997,8,41.33,-93.57,0
1997,7,44.93,-89.4,1
1997,7,44.82,-89.25,0
1997,7,42.62,-95.92,0
1997,7,29.47,-95.35,0
1997,8,41.13,-104.9,0
1997,8,42.75,-102.43,0
1997,8,47.42,-100.72,0
1997,8,47.18,-99.52,0
1997,5,34.73,-86.62,0
1997,5,31.07,-95.0,0
1997,5,47.85,-117.52,1
1997,1,30.67,-85.83,1
1997,1,30.63,-85.72,1
1997,2,35.37,-119.0,0
1997,5,35.08,-97.78,1
1997,4,34.85,-77.28,0
1997,4,27.92,-82.53,0
1997,5,35.35,-100.92,0
1997,1,27.53,-82.73,0
1997,1,27.33,-82.53,0
1997,6,46.43,-97.92,0
1997,6,46.02,-96.83,0
1997,1,34.77,-85.73,0
1997,1,31.57,-95.58,1
1997,6,36.18,-82.63,1
1997,1,30.4,-83.1,0
1997,5,33.53,-97.27,1
1997,5,33.48,-97.05,0
1997,1,33.13,-87.57,2
1997,2,33.22,-86.88,0
1997,5,33.67,-97.53,0
1997,5,33.68,-97.52,0
1997,5,28.12,-97.97,0
1997,6,41.98,-104.97,0
1997,2,32.52,-89.57,2
1997,2,30.85,-100.62,1
1997,5,33.6,-97.6,1
1997,1,36.32,-119.13,0
1997,4,27.48,-82.72,0
1997,5,35.9,-96.15,1
1997,5,36.0,-96.08,1
1997,5,35.98,-96.07,0
1997,5,31.82,-96.83,0
1997,2,35.13,-94.02,1
1997,5,37.8,-100.02,0
1997,1,33.3,-87.7,2
1997,5,37.58,-100.02,0
1997,5,36.65,-94.15,0
1997,6,43.57,-100.75,0
1997,5,25.43,-81.0,1
1997,5,36.8,-97.52,0
1997,4,28.85,-82.05,0
1997,2,32.72,-90.27,0
1997,6,39.0,-94.12,0
1997,5,34.77,-87.0,2
1997,5,33.98,-103.58,0
1997,5,39.52,-83.55,1
1997,5,37.9,-97.67,0
1997,5,30.5,-99.78,0
1997,5,31.38,-97.32,2
1997,5,31.3,-97.25,0
1997,5,33.63,-97.32,0
1997,5,34.83,-98.23,0
1997,6,36.8,-87.42,1
1997,5,37.83,-100.12,0
1997,5,37.83,-100.12,0
1997,5,37.83,-100.12,0
1997,5,37.82,-100.1,0
1997,5,37.8,-100.08,0
1997,6,43.0,-93.95,1
1997,1,33.63,-89.72,0
1997,5,40.52,-96.8,0
1997,2,32.52,-90.37,0
1997,2,32.6,-90.32,0
1997,5,33.57,-98.28,0
1997,5,34.07,-103.48,0
1997,5,42.08,-86.0,0
1997,5,42.27,-85.08,0
1997,1,35.48,-86.63,2
1997,1,35.45,-86.7,1
1997,5,34.6,-117.18,1
1997,2,32.68,-97.45,0
1997,4,28.58,-82.48,0
1997,5,33.28,-89.52,1
1997,4,28.55,-82.45,0
1997,5,30.87,-97.6,2
1997,1,29.73,-90.13,1
1997,1,32.55,-86.32,1
1997,4,28.52,-82.43,0
1997,1,35.98,-86.53,2
1997,1,35.78,-86.5,4
1997,6,37.13,-87.27,2
1997,6,36.88,-89.68,0
1997,6,36.83,-89.85,0
1997,1,34.33,-87.28,1
1997,1,29.7,-95.2,1
1997,1,36.68,-85.15,1
1997,5,34.85,-98.25,0
1997,5,34.6,-97.12,0
1997,5,34.7,-96.95,0
1997,5,34.13,-96.9,0
1997,6,42.73,-92.97,1
1997,1,31.28,-89.55,1
1997,7,40.82,-104.52,1
1997,2,32.77,-97.8,0
1997,2,32.97,-97.73,0
1997,1,36.03,-86.37,2
1997,1,36.58,-86.55,0
1997,1,35.13,-86.78,2
