YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2023,8,39.02,-87.97,-1,0,0,0,0,0.0,0.0,87.13014991898396,True
2023,6,36.914,-98.422,-1,0,0,0,0,0.0,0.0,32.525332764607334,True
2023,1,40.0109,-89.0144,0,0,0,0,0,0.0,0.0,31.516016090221665,True
2023,5,33.43,-103.23,-1,0,0,0,0,0.0,0.0,133.56289054620274,True
2023,5,33.4,-103.14,-1,0,0,0,0,0.0,0.0,126.10435312276901,True
2023,7,47.7504,-118.7593,0,0,0,0,0,0.0,0.0,85.15362459666294,True
2023,7,42.4246,-84.1361,0,0,0,0,0,50000.0,0.0,62.44143307208292,True
2023,3,41.6381,-89.2287,1,0,0,0,0,0.0,0.0,95.18831238127248,True
2023,3,42.3489,-88.9027,1,0,0,0,0,0.0,0.0,74.597218077195,True
2023,4,31.3458,-96.6184,0,0,0,0,0,0.0,0.0,100.6000257687907,True
2023,3,40.9559,-88.6529,-1,0,0,0,0,0.0,0.0,86.35281287036024,True
2023,3,41.6508,-89.3128,2,0,0,0,0,0.0,0.0,102.22525815405659,True
2023,8,38.167,-90.057,0,0,0,0,0,0.0,0.0,80.42822157730099,True
2023,6,30.42,-88.57,2,0,0,6,0,773000.0,0.0,42.808036383704724,True
2023,1,29.75,-90.15,-1,0,0,0,0,0.0,0.0,89.08362194486564,True
2023,4,35.532,-80.882,0,0,0,0,0,10000.0,0.0,141.33680112666082,True
2023,1,31.7617,-89.1008,1,0,0,0,0,50000.0,0.0,101.29802506172014,True
2023,2,34.0608,-88.4525,1,0,0,0,0,25000.0,0.0,21.479857446545456,True
2023,2,35.0939,-88.6307,1,0,0,0,0,150000.0,0.0,116.27490191465269,True
2023,6,40.7109,-74.5804,1,0,0,0,0,0.0,0.0,86.15752809138574,True
2023,8,39.632,-89.5349,2,0,0,0,0,0.0,0.0,60.07985920272343,True
2023,9,36.33,-76.53,0,0,0,0,0,0.0,0.0,84.26574144839306,True
2023,5,41.6178,-96.5999,2,0,0,0,0,0.0,0.0,38.363333455616996,True
2023,4,31.3592,-85.8293,0,0,0,0,0,25000.0,0.0,36.870118775205526,True
2023,8,32.3209,-111.3535,0,0,0,0,0,0.0,0.0,83.05219489719559,True
2023,9,41.8109,-71.8178,0,0,0,0,0,6000.0,0.0,58.62807180102864,True
2023,2,35.469,-96.875,1,0,0,0,0,5000.0,0.0,39.51028100608934,True
2023,9,41.8586,-71.6736,1,0,0,0,0,20000.0,0.0,45.712762203236856,True
2023,7,42.248,-72.072,0,0,0,0,0,7000.0,0.0,83.71367902355537,True
2023,7,42.0538,-71.1918,0,0,0,0,0,5000.0,0.0,11.807930094410732,True
2023,4,31.248,-85.4516,1,0,0,0,0,5000.0,0.0,23.64602489095533,True
2023,4,30.8719,-84.5112,1,0,0,0,0,0.0,0.0,55.5609112714836,True
2023,4,30.8838,-84.4398,1,0,0,0,0,25000.0,0.0,55.106392765496636,True
2023,4,30.8596,-84.0252,1,0,0,0,0,0.0,0.0,59.03119465078709,True
2023,4,30.9005,-83.9794,1,0,0,0,0,5000.0,0.0,65.16244101356362,True
2023,4,30.395,-83.7363,1,0,0,0,0,0.0,0.0,56.83640925294274,True
2023,4,30.6255,-84.3921,0,0,0,0,0,0.0,0.0,26.066645772773285,True
2023,4,30.21,-85.22,0,0,0,0,0,0.0,0.0,78.02627655298046,True
2023,4,30.2485,-85.6647,1,0,0,0,0,200000.0,0.0,42.965680421723235,True
2023,4,30.272,-84.637,0,0,0,0,0,0.0,0.0,32.69670431305666,True
2023,2,36.94,-98.306,0,0,0,0,0,10000.0,0.0,27.254893086215667,True
2023,1,37.21,-88.93,1,0,0,0,0,0.0,0.0,21.082098734603715,True
